2017_POaTX3adzDF22P5xmyhXRQ,0.6516173,0.03688687,0.037925303,0.04752767,0.008873522,0.01472339,0.099606186,0.011853576,0.041164577,0.01696679,101,2017_POaTX3adzDF22P5xmyhXRQ_0.jpg,51.501003,-0.136289,a group of people walking down a sidewalk;a group of people walking down a sidewalk next to trees;a group of people walking across a street;a group of people walking down a street next to trees;a group of people walking down a sidewalk next to a road
2017_dn2x5Q8qEzVPxLs-dKke6Q,0.6831444,0.038538963,0.03707376,0.044350207,0.009182006,0.01572892,0.09605697,0.013227284,0.03901291,0.016409308,101,2017_dn2x5Q8qEzVPxLs-dKke6Q_0.jpg,51.521003,-0.156289,a row of buildings next to a street;a row of buildings next to a sidewalk;a row of buildings with a plant in the middle;a row of buildings with a plant in the center;a row of buildings with a plant in the window
2017_lilOkqhFsWdg8G6qFefmjw,0.6417731,0.041342467,0.025978059,0.07627627,0.012237996,0.022854269,0.083833486,0.011801034,0.06201303,0.019918948,101,2017_lilOkqhFsWdg8G6qFefmjw_0.jpg,51.481003,-0.246289,a road that has a few cars on it;a car driving down a street next to a forest;a view of a road from the side of the road;a view of a road from the side of a road;a view of a street from the side of a road
2017_NZmwC6Ijjo94IVfX72zYnA,0.6517196,0.048704088,0.041665465,0.062797755,0.01346615,0.021931201,0.07463685,0.01455,0.056606114,0.01943165,101,2017_NZmwC6Ijjo94IVfX72zYnA_0.jpg,51.481003,-0.066289,a couple of cars driving down a road;a car driving down a road next to buildings;a car driving down a street next to a tall building;a couple of cars driving down a street next to buildings;a couple of cars driving down a street next to tall buildings
2017_7p2miL21Oa8HawIPrL775Q,0.6682066,0.056943,0.062368333,0.051515102,0.014948785,0.021348,0.07740125,0.017572194,0.049999326,0.018468976,101,2017_7p2miL21Oa8HawIPrL775Q_0.jpg,51.491003,-0.156289,a street filled with traffic next to tall buildings;a city street with cars and a bus;a city street with cars and buses on the road;a city street with cars and buses on it;a city street with cars and buses parked on it
2017_zki7MbWom5XSOYqIWzjcuA,0.6628311,0.040982395,0.04457876,0.055410802,0.010748774,0.017136753,0.08264083,0.012258858,0.04799658,0.016777635,101,2017_zki7MbWom5XSOYqIWzjcuA_0.jpg,51.511003,-0.046289,a street with various buildings on both sides;a street with a row of buildings on it;a street with a row of buildings on both sides;a street with a row of buildings on both sides of it;a street with a row of buildings on both sides of the street
2017_a_cBiOwVKmtRWt_1W-IE0A,0.6873563,0.045078486,0.04058519,0.047378182,0.010767281,0.017875165,0.085454315,0.014382571,0.042991042,0.016369492,101,2017_a_cBiOwVKmtRWt_1W-IE0A_0.jpg,51.551003,-0.106289,a group of cars parked in front of a house;a group of cars parked in front of a building;a group of cars parked on a city street;a group of cars parked in front of a home;a group of cars parked on the side of a street
2017_vP5SHcD-05l_JM0rVJocOg,0.42786196,0.025269628,0.019622236,0.1604915,0.010489255,0.019847393,0.1493386,0.008351743,0.10059565,0.03463298,101,2017_vP5SHcD-05l_JM0rVJocOg_0.jpg,51.511003,-0.116289,a sign on a wall in a room;a sign is hanging on the wall in a room;a sign is hanging on the wall of a building;a sign on a wall in a room with red walls;a sign is hanging on the wall in a bathroom
2017_UUbuDq0Y1M9D2uIDiR-IlQ,0.6449876,0.036631793,0.025468946,0.07410428,0.011109859,0.02039966,0.0837473,0.011401266,0.061531276,0.021163315,101,2017_UUbuDq0Y1M9D2uIDiR-IlQ_0.jpg,51.481003,-0.206289,a group of cars parked on the side of the road;a group of cars parked on the side of a road;many cars are parked on the side of the road;a group of cars parked on the side of a street;many cars are parked on the side of the street
2017_WUnCreGKG_baIhNY763PuQ,0.6410084,0.032168806,0.022115111,0.068289965,0.008970499,0.017426848,0.09160873,0.010111332,0.04990357,0.018269151,101,2017_WUnCreGKG_baIhNY763PuQ_0.jpg,51.551003,-0.236289,a car parked on the side of the road;a car parked on the side of the street;a car parked on the side of a street;a small blue car parked on the side of the road;a small blue car parked on the side of the street
2017_Z-fQT1na8L5za6qI53E_HA,0.6923526,0.045966655,0.044589967,0.0455198,0.011160016,0.01767978,0.0843004,0.015310824,0.043447196,0.016646475,101,2017_Z-fQT1na8L5za6qI53E_HA_0.jpg,51.531003,-0.046289,a car parked on the side of a road;a car parked on the side of the road;a car parked on the side of the street;a car driving down a road next to a fence;a car parked on the side of a road near a fence
2017_WpiBNGMV5mFAFQzR8LKwAw,0.66718006,0.035078257,0.032241285,0.04603383,0.008166105,0.015182495,0.10174593,0.012125671,0.03893152,0.016560018,101,2017_WpiBNGMV5mFAFQzR8LKwAw_0.jpg,51.481003,-0.036289,a red car parked in front of a building;a red car parked on the side of the road;a red car parked on the side of a street;a red car parked on the side of a road;a red car driving down a street past a tall building
2017_PaEzq8zyt5HSkBFI34mJLQ,0.6858477,0.047000885,0.039108694,0.053974777,0.012054682,0.020178735,0.080375195,0.014744341,0.04651779,0.01677093,101,2017_PaEzq8zyt5HSkBFI34mJLQ_0.jpg,51.541003,-0.226289,a car parked on the side of the road;a car parked on the side of a street;a car parked on the side of the street;a car parked on the side of a road near a building;a car parked on the side of a road next to a building
2017_kD_KymJw6kLXnBeIXXVYjw,0.65976113,0.04335153,0.04141617,0.054888904,0.011080831,0.01840502,0.076115936,0.012696683,0.050171614,0.01745835,101,2017_kD_KymJw6kLXnBeIXXVYjw_0.jpg,51.491003,-0.206289,a group of cars parked in front of a tall building;a couple of cars parked in front of a tall building;a couple of cars parked in front of a building;a couple of cars driving down a city street;a group of cars parked in front of a building
2017_iY9EGZp6-CpVhSfsYS3A5A,0.5385396,0.043808103,0.026165396,0.14497349,0.018974572,0.032695472,0.088939995,0.013667047,0.13490385,0.03596154,101,2017_iY9EGZp6-CpVhSfsYS3A5A_0.jpg,51.481003,-0.086289,a truck driving down a road past a house;a truck driving down a road next to a building;a truck driving down a street next to a house;a truck driving down a road next to a house;a truck driving down a road past a building
2017_7nL9m1cb_bHKfJ2uFaEGDQ,0.5341344,0.054737896,0.02715543,0.13944131,0.02148074,0.038948327,0.09342754,0.01534456,0.14372402,0.036745995,101,2017_7nL9m1cb_bHKfJ2uFaEGDQ_0.jpg,51.471003,-0.146289,a view of a street with cars driving down it;a street with cars parked on the side of it;a street with cars parked on the side of the road;a view of a street with cars parked on the side;a view of a street with cars parked on the street
2017_0k4pTa65O2k-ND8wMs1KiQ,0.6023731,0.026060998,0.02084902,0.06638864,0.007431477,0.015020072,0.14998773,0.009438485,0.043173134,0.020497382,101,2017_0k4pTa65O2k-ND8wMs1KiQ_0.jpg,51.491003,-0.046289,a car driving down a road next to trees;a car driving down a street next to tall trees;a view of a street from a car window;a car driving down a street next to a building;a car driving down a road next to a tall building
2017_PWsgD7NS1T1P0z-S_gWheg,0.52705956,0.0247868,0.015521228,0.124132305,0.00840807,0.017317116,0.12933823,0.007265359,0.07674539,0.024229169,101,2017_PWsgD7NS1T1P0z-S_gWheg_0.jpg,51.511003,-0.246289,a car driving down a street past houses;a car driving down a street next to houses;a car parked on the side of the road;a car parked on the side of a road;a car driving down a street next to a house
2017_8Rxnyy7ir8b_GDLyideL8g,0.6497083,0.044580996,0.03510353,0.06633422,0.012156546,0.021423936,0.07545769,0.012193501,0.059010357,0.018855512,101,2017_8Rxnyy7ir8b_GDLyideL8g_0.jpg,51.521003,-0.166289,a street that has cars parked on it;a street that has a few cars parked on it;a street that has cars parked on the side of it;a street that has cars parked on the side of the street;a street that has a bunch of cars on it
2017_RRSZjotMhcmyAVErII5Avg,0.6615894,0.038785994,0.03164625,0.057434678,0.009953201,0.017833412,0.08109555,0.011072069,0.04972467,0.016446143,101,2017_RRSZjotMhcmyAVErII5Avg_0.jpg,51.541003,-0.176289,a view of a city street from across the street;a view of a city street from the street;a street with cars parked on the side of the road;a view of a street from the side of the road;a view of a street from the side of a road
2017_KvoVVqhZ7CXuGufODrEWFw,0.53960747,0.028531283,0.037356377,0.06523672,0.007907689,0.012632906,0.20909041,0.009353101,0.04315704,0.024862021,502,2017_KvoVVqhZ7CXuGufODrEWFw_0.jpg,51.551003,-0.166289,a person walking down a street next to houses;a person walking down the street in a neighborhood;a person walking down a street next to a street light;a person walking down the street in the middle of the day;a person walking down a street next to a lamp pole
2017_kXW09VR7CLBSLDrg91CrRQ,0.4916773,0.040358096,0.021608531,0.14815107,0.01513043,0.028552711,0.100109875,0.010796219,0.13174987,0.033212334,101,2017_kXW09VR7CLBSLDrg91CrRQ_0.jpg,51.501003,-0.106289,an empty street with a building in the background;a empty street in front of an apartment building;a empty street in front of a tall building;a empty street in front of a large brown building;an empty street with a few cars parked on the side
2017_7fxfXl6kiL5nIBCWaIbRjg,0.5874992,0.03908524,0.020445198,0.11575225,0.014325857,0.02688557,0.08972907,0.011153817,0.09317595,0.026491106,101,2017_7fxfXl6kiL5nIBCWaIbRjg_0.jpg,51.481003,-0.116289,a long road with some cars parked on the side of it;a road with cars parked on the side of it;a long line of cars parked on the side of the road;a long road with some cars parked on the side;a long line of cars parked on the side of a road
2017_ZB5z4VXavPxLdmtVI3GESA,0.50962365,0.040908515,0.021270186,0.15952179,0.019144714,0.03526163,0.099033296,0.013019502,0.13432246,0.038016498,101,2017_ZB5z4VXavPxLdmtVI3GESA_0.jpg,51.521003,-0.096289,a view of a train track from a distance;a view of an empty street from the side;a view of a street with a train on it;a view of a city street with a train on it;a view of an empty street from the side of a building
2017_HbYRLj7dtltH3hC5Y6ou-w,0.67864275,0.03899449,0.032654524,0.05234319,0.009328812,0.017052889,0.090102434,0.012283534,0.043799877,0.016999334,101,2017_HbYRLj7dtltH3hC5Y6ou-w_0.jpg,51.461003,-0.176289,a car driving down a street next to houses;a car driving down a road next to houses;a car driving down a street next to some houses;a car driving down a street next to some buildings;a car driving down a street next to a building
2017_y3bsmtkcAN0JdQRbQEVTQg,0.68057024,0.051009387,0.052105874,0.046992242,0.012581646,0.019231647,0.07963386,0.016349584,0.044898003,0.0172728,101,2017_y3bsmtkcAN0JdQRbQEVTQg_0.jpg,51.471003,-0.106289,a car driving down a street past tall buildings;a car parked on the side of a street;a car parked on the side of the road;a car is parked on the side of the street;a car is parked on the side of the road
2017_f1YPL_Eoj3Tk7YwrBdd6Zw,0.6183337,0.043203115,0.027123898,0.08782619,0.014064223,0.024675667,0.08095941,0.012228131,0.07681784,0.023085594,101,2017_f1YPL_Eoj3Tk7YwrBdd6Zw_0.jpg,51.541003,-0.046289,a road with a few cars driving down it;a view of a street from the street;a view of a street from a car window;a view of a street from the road;a view of a street from a window of a building
2017_qP8jKv-BwK2Te2uuZVcE6w,0.6748935,0.046716273,0.038093656,0.05685374,0.012256265,0.02081728,0.08082533,0.014441252,0.04798922,0.017252445,101,2017_qP8jKv-BwK2Te2uuZVcE6w_0.jpg,51.461003,-0.186289,a car parked on the side of the road;a car parked on the side of a road;a car parked on the side of the street;a car parked on the side of a road near trees;a car parked on the side of a road near a bridge
